root@comp3134Winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
22:07:37.435112 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 4277653852:4277653960, ack 1758399130, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 108
22:07:37.472994 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 10484:10520, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 36
22:07:37.473036 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 10520:10724, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 204
22:07:37.473072 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 10724:10760, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 36
22:07:37.473117 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 10760:10964, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 204
22:07:37.473182 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 10964:11204, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 240
22:07:37.473238 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 11204:11240, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 36
22:07:37.473270 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 11240:11444, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 204
22:07:37.473336 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 11444:11684, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 240
22:07:37.473370 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 11684:11720, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 36
22:07:37.473409 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 11720:11924, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 204
22:07:37.473465 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 11924:12164, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 240
22:07:37.473516 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 12164:12404, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 240
22:07:37.473578 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 12404:12644, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 240
22:07:37.473629 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 12644:12884, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 240
22:07:37.473683 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 12884:12920, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 36
22:07:37.473706 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 12920:13124, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 204
22:07:37.485980 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 13124, win 2048, options [nop,nop,TS val 2410291684 ecr 3460357521], length 0
22:07:37.486069 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 13124:15800, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 2676
22:07:37.486249 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 15800:15988, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 188
22:07:37.486313 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 15988:16024, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 36
22:07:37.486338 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 16024:16228, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 204
22:07:37.486394 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 16228:16468, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 240
22:07:37.486457 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 16468:16504, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 36
22:07:37.486482 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 16504:16708, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 204
22:07:37.486511 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 16708:16744, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 36
22:07:37.486549 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 16744:16948, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 204
22:07:37.486588 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 16948:17188, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 240
22:07:37.486628 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 17188:17224, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 36
22:07:37.486666 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 17224:17428, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 204
22:07:37.486702 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 17428:17464, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 36
22:07:37.486740 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 17464:17668, ack 1, win 501, options [nop,nop,TS val 3460357534 ecr 2410291684], length 204
22:07:37.486776 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 17668:17704, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 36
22:07:37.486810 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 17704:17908, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 204
22:07:37.486843 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 17908:17944, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 36
22:07:37.486886 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 17944:18184, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.486929 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 18184:18424, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.486986 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 18424:18664, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487034 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 18664:18904, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487087 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 18904:19108, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 204
22:07:37.487132 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 19108:19348, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487187 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 19348:19384, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 36
22:07:37.487217 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 19384:19588, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 204
22:07:37.487296 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 19588:19828, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487339 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 19828:20068, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487382 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 20068:20308, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487425 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 20308:20344, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 36
22:07:37.487470 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 20344:20584, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487512 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 20584:20824, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487555 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 20824:21064, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487598 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 21064:21304, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487641 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 21304:21544, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487685 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 21544:21748, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 204
22:07:37.487727 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 21748:21988, ack 1, win 501, options [nop,nop,TS val 3460357535 ecr 2410291684], length 240
22:07:37.487777 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 21988:22024, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 36
22:07:37.488021 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 22024:22228, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 204
22:07:37.488085 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 22228:22264, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 36
22:07:37.488104 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 22264:22468, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 204
22:07:37.488153 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 22468:22504, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 36
22:07:37.488190 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 22504:22708, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 204
22:07:37.488229 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 22708:22744, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 36
22:07:37.488273 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 22744:22984, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 240
22:07:37.488313 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 22984:23224, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 240
22:07:37.488355 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 23224:23428, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 204
22:07:37.488400 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 23428:23668, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 240
22:07:37.488444 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 23668:23908, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 240
22:07:37.488487 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 23908:24148, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 240
22:07:37.488531 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 24148:24388, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 240
22:07:37.488575 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 24388:24628, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 240
22:07:37.488619 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 24628:24868, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 240
22:07:37.488662 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 24868:25108, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 240
22:07:37.488704 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 25108:25144, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 36
22:07:37.488749 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 25144:25348, ack 1, win 501, options [nop,nop,TS val 3460357536 ecr 2410291684], length 204
22:07:37.488788 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 25348:25588, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 240
22:07:37.488827 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 25588:25624, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 36
22:07:37.488869 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 25624:25864, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 240
22:07:37.488913 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 25864:26104, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 240
22:07:37.488955 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 26104:26308, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 204
22:07:37.488996 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 26308:26344, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 36
22:07:37.489037 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 26344:26584, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 240
22:07:37.489079 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 26584:26824, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 240
22:07:37.489121 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 26824:27064, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 240
22:07:37.489162 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 27064:27268, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 204
22:07:37.489206 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 27268:27508, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 240
22:07:37.489247 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 27508:27544, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 36
22:07:37.489288 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 27544:27748, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 204
22:07:37.489332 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 27748:27784, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 36
22:07:37.489371 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 27784:28024, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 240
22:07:37.489412 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 28024:28264, ack 1, win 501, options [nop,nop,TS val 3460357537 ecr 2410291684], length 240
22:07:37.492076 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [P.], seq 1:37, ack 13124, win 2048, options [nop,nop,TS val 2410291685 ecr 3460357521], length 36
22:07:37.505678 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 21748, win 2048, options [nop,nop,TS val 2410291697 ecr 3460357535], length 0
22:07:37.505679 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 25588, win 1988, options [nop,nop,TS val 2410291699 ecr 3460357537], length 0
22:07:37.505679 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 25588, win 2048, options [nop,nop,TS val 2410291699 ecr 3460357537], length 0
22:07:37.505772 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 28264:33132, ack 37, win 501, options [nop,nop,TS val 3460357553 ecr 2410291685], length 4868
22:07:37.505957 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 33132:33320, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 188
22:07:37.506017 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 33320:33544, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 224
22:07:37.506068 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 33544:33580, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 36
22:07:37.506080 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 33580:33768, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 188
22:07:37.506125 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 33768:33804, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 36
22:07:37.506162 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 33804:34008, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 204
22:07:37.506199 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 34008:34044, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 36
22:07:37.506241 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 34044:34248, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 204
22:07:37.506287 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 34248:34796, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 548
22:07:37.506323 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 34796:35008, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 212
22:07:37.506364 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 35008:35380, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 372
